"label","project_acronym","title","abstract","pi","year","project_budget","host_institution","screened_abstracts","notes"
"ref_011","CILCat","Nanocarbon-Ionic Liquid-Interfaces for Catalytic Activation of Nitrogen","Ammonia is one of the most important chemicals in the world. Electrocatalytic reduction of nitrogen (NRR) at ambient conditions is a sustainable alternative for its production to the established energy consuming Haber-Bosch process, relying on hydrogen from fossil sources. The triple bond in dinitrogen is one of the most stable covalent chemical bonds. Conversely, the dissociation of dinitrogen and its chemical conversion is highly demanding. NRR is a carbon-neutral and decentral process that can be carried out wherever renewable electricity, water, and air are available. However, current research on NRR and other electrocatalytic reactions has reached an impasse as improvements based on catalyst design are getting more and more incremental. At this tipping point, CILCat tackles a foreseeable stagnation by constituting a disruptive principle that holds holistic perspectives for the activation of small molecules. The novel concept will go beyond established principles of isolated catalytically active sites. By confining ionic liquid (IL) electrolytes into charged porous carbon materials, an interface will be created, that as a whole serves as catalytic surface. CILCat will contribute to a fundamental understanding of the physicochemical principles of sorption into ILs upon confinement in pores. Targeted catalyst development will follow and the possibility of using the principle for catalytic activation of nitrogen and other molecules will be explored. This innovative approach will then be combined with advanced electrode design. CILCat aims for more than a step towards a future carbon-free nitrogen economy. It is a pioneering attempt to heterogenize homogenous catalysts by rather converting the energy principles of small molecule activation than chemical structures from solution to surfaces. The methodology is transferable to other obstacles in the field of catalysis and the project will lead to a more objective general understanding of reactivity in confined spaces.","OSCHATZ Martin",2021,1498590,"University of Jena","excluded",NA
"ref_012","REACHER","Reactive fluids for intensified thermal energy conversion","Thermal engines, refrigeration systems and heat pumps rely on thermodynamic cycles, in which an inert working fluid converts input thermal and mechanical energies into another useful energy form (work or heat) by cyclically transforming its thermal energy content. Although the selection of the working fluid is the main lever to increase their performances, whatever the fluid is, recorded efficiencies remain far below the highest achievable ones. This deficiency is strongly affecting the exploitation of waste heat and renewable thermal energies by closed power cycles, as well as representing the main cause of the slow performance improvement of heat pumps and cooling technologies. With the aim to effectively increase the performances of thermodynamic cycles, I propose to investigate a radically new thermodynamic structure, resulting from the use of equilibrated reactive working fluids instead of inert ones. Preliminary calculations have indeed shown that the simultaneous conversion of the thermal and chemical energy of reactive fluids may result in the intensification of these energy conversion processes. This project applies an original methodology that integrates thermodynamic and kinetic predictive tools to discover and characterize suitable reactive fluids, allowing for the quantification of the effects of reaction features on cycle performance and the optimization of the cycle?s configuration. The novelty of such a solution approach and comprehensiveness of the applied methodology builds the innovative character of REACHER. Probably due to the complex multi-disciplinarity of the problem or to the negligence of this possible way to convert chemical energy in thermodynamic cycles, this field has remained substantially unexplored. The successful development of REACHER will provide the former fundamental understanding on how chemical energy can be efficiently exploited in the intensification of thermodynamic cycles for power, refrigeration and heating purposes.","LASALA Silvia",2021,1436088,"University of Lorraine","excluded",NA
"ref_013","TRACE-it","Controlling particle flow driven by local concentration gradients in geological porous media","Many engineering applications foreseen the usage of small particles for groundwater remediation or for sealing damaged geological confinement barriers, however, delivering materials to a contaminated or damaged region is challenging. TRACE-it aims at controlling the flow of colloidal particles in subsurface geological environments using in situ solute concentration gradients. The phenomenon, known as diffusiophoresis, has a tremendous potential to move colloids to regions that are inaccessible by conventional transport. Diffusiophoretic transport in porous media, however, has received very little attention so far, especially in standard transport in porous media models where it remains unconsidered. What is the magnitude and location of solute concentration gradients produced during subsurface processes? How to use these gradients to transport colloids towards target regions? The answers will be found through a combined experimental-modelling approach to: (i) measure coupled hydro-electro-chemical dynamics, (ii) characterize concentration gradients generated in situ in geological porous media, (iii) identify the influence of concentration gradients on particle transport and develop a macroscale model of transport in porous media that includes diffusiophoresis. TRACE-it integrates the usage of microfluidic experiments, observation techniques, and multi-scale computational fluid dynamics to describe the transport mechanisms at the pore-scale before upscaling to the continuum-scale. The experimental-modelling toolset will open new ways for moving colloidal particles by sensing chemical gradients generated naturally or from human activity, leading them to their target such as oil, contaminants, or reacting minerals. During column-scale experiments, controlling colloid transport will be achieved through the characterization of solute concentration gradients and the use of specifically designed particles.","ROMAN Sophie",2021,1499985,"University of Orleans","excluded",NA
"ref_014","CoDe4Bio","COmputational DEsign for 4D BIOfabrication: harnessing programmable materials for dynamic pre-clinical cancer models","Cancer is a global health burden. In-vitro pre-clinical models play a key role in fighting this burden by encompassing all the activities prior to clinical trials, from tumor microenvironment reconstruction to drug candidate selection. However, the frequent failure of promising pre-clinical drug candidates highlights two major drawbacks of these models: (i) the difficult reproduction of the dynamic cancer structure related to numerous physical cues. (ii) their experimental nature that suffers from high costs, long times, and limited understanding. Consequently, the relationship between dynamic physical cues, cell behavior, and drug efficacy is still unknown. CoDe4Bio tackles such a huge knowledge deficiency. We propose a radical methodology shift to a computational approach to harness programmable materials, able to change properties on demand, and realize dynamic 4D biofabricated models whose stimuli-triggered evolution over time (4th dimension) induces targeted physical cues on cancer cells. We will leverage my extensive experience with smart materials and structures to address the challenges of this multidisciplinary project. Specifically, we will develop a computational design framework for 4D biofabrication that combines new data-, geometry-, and model-based methods with additive manufacturing and in-vitro observations. This framework will allow us to develop customized stimuli-responsive materials and engineer a new generation of 4D constructs with programmable mechano-structural properties and acting as mechanical regulators. We will assess the constructs in-vitro on chronic lymphocytic leukemia to achieve a deep understanding on how complex physical cues within lymph nodes and bone marrow affect this incurable cancer in relation to chemoimmuno and targeted therapies. CoDe4Bio will push the frontiers of solid and computational mechanics to unveil unconventional routes for pre-clinical drug screening and lay the foundation for effective dynamic cancer models.","SCALET Giulia",2021,1495100,"University of Pavia","excluded",NA
"ref_015","MELTDYN","Understanding the melting dynamics in turbulent flows","Dissolving, eroding, and melting processes are ubiquitous in everyday life, nature, science, and technology. The challenge is to accurately predict the melting or dissolution rate e.g. of an iceberg or glacier---relevant for climate change---or of solid reactants in chemical reactors, important to accurately control reaction rates and temperatures. Current predictions for the melting of glaciers are often off by a factor of 100, and different melting models show inconsistencies. No general consensus of the cryospheric modeling has been reached yet. The difficulties in describing melting and dissolution stem from the multiscale nature of these processes (micrometers to kilometers) and the interaction between thermal, solutal, and viscous boundary layers and their complex interplay with the continuously reshaping boundary. A common belief is that melting always smooths the shape. However, from examples in nature and from theoretical analysis, it is clear that flows around melting or dissolving objects can create a rough (dimpled) surface, dramatically increasing the difficulty of accurate predictions. The objective of the project is to solve the gap in understanding and develop a quantitative understanding of the heat and mass transfer and the resulting melting and dissolution dynamics of fixed surfaces and freely-moving objects in turbulent flows from a fundamental fluid dynamics perspective. To do so, we will perform highly controlled lab experiments and numerical simulations, which allow for a combined experimental, numerical, and theoretical approach to reveal the underlying mechanisms of the melting and dissolution dynamics. Unique experimental flow facilities, the latest 3D optical measurements techniques, and advanced high-performance numerical schemes will allow for a one-to-one comparison between experiments and simulations. Given the societal relevance of climate change and the burning technol","HUISMAN Sander Gerard",2021,1500000,"University of Twente","excluded",NA
"ref_016","BioCom4SavEn","Bioinspired Composites Strategies for Saving Energy","Saving energy together with energy harvesting is demanded by increasing power consumption. The energy industry requires new materials not only for construction but also in cabling infrastructure. Moreover, the trend of portable and small devices causes a significant challenge in heat dissipation technologies. The need for sustainable technology in thermal insulation and cooling solutions to decrease power consumption requires new innovation. My ambition is to bring novel solutions inspired by nature to the thermal management challenges such as: - constructing light and more efficient thermal insulation. - developing cooling system based on the fibrous membranes to dissipate effectively heat, both leading to lower power consumption. - building mechanically robust and integrated system with conductive or piezoelectric properties, including thermal insulation and cooling system designed together for small devices and smart textiles. The aim of the project is therefore to both comprehensively evaluate natural design strategies and develop structural equivalents using novel composite manufacturing routes. Key to composite production is electrospinning allowing engineering the novel composites based on the porous membranes that will transform thermal energy management efficiency, allowing to increase the savings in daily life. The novelty of the project is the combined effort of complex composite membranes that have been never performed before. The interdisciplinary team of postdocs and PhD students working in parallel on the divided but interlayered topics, will lead to break-through in engineered multifunctional thermal materials for various geometries from buildings to cables.","STACHEWICZ Urszula",2020,1694375,"AGH University of Science and Technology Krakow","excluded",NA
"ref_017","ModelCom","Autonomously adapting and communicating modular textiles","This project contributes to a paradigm shift for smart soft materials into user-customizable textiles that autonomously interact with their environment and communicate through changes in color or shape. This will be done by coupling modular thermo- and photo-actuators to the traditional European fiber art of bobbin lace. The envisioned color-shape-communicative textile networks will include an on/off command of embedded functionalities by modifying an established concept – coiled yarn thermoactuators – to have different selective coatings on inner and outer surfaces of the coils. Furthermore, I will create unprecedented photoactuating coiled yarns, in which visible light turns on the functionality in a thread. The developed non-conformal coating techniques will also enable multifunctional threads, in which different parts of the thread can be commanded by different wavelengths of light. I will also develop two-dimensional multifunctional structures using these thermo- and photo-actuating threads as building blocks. The modularity of these building blocks, combined with the multiple thread system and three different braiding actions of bobbin lace, will enable a wide combinatorial parameter space for interactive network structures. I will demonstrate a textile that can, either upon illumination or thermal stimulus, change its color, its breathability/permeability, and activate a third function, such as colorimetric detection of a biomarker. These textiles could be used in clothes or window shades, e.g., adapting their warming/cooling capacity based on the external temperature or solar illumination. Such functional textiles would indirectly decrease the need for heating/cooling many buildings and allow energy savings, thus providing an important economic opportunity. Co-creating further textile innovations with communities of bobbin lacemakers will ensure that the impact of the action goes beyond the conventional in terms of both technological and societal impact.","Vapaavuori Jaana",2020,1499998,"Aalto University","excluded",NA
"ref_018","4D-BIOMAP","Biomechanical Stimulation based on 4D Printed Magneto-Active Polymers","MAPs are polymer-based composites that respond to magnetic fields with large deformation or tuneable mechanical properties. I aim to apply heterogeneous 3D printed MAPs as modifiable substrates to support biological structures which can have their deformation state and stiffness controlled by the external application of magnetic stimuli. Such mechanical stimulation has an important role on biological structures leading to alterations in functional responses, morphological changes and activation of growth or healing processes. Current bottlenecks preventing progress in this field are a lack of: a) appropriate experimental methodologies to enable characterisation of the behaviour of these materials. b) fundamental theoretical underpinnings to support the design and application of these new materials. The first step is to undertake in depth characterisation and assessment of 4D printed MAPs to create a detailed understanding of the underlying physics controlling the interactions between the polymeric matrices and embedded magnetic particles during application of mechanical and/or magnetic loadings. I will then culture biological structures on the novel 4D printed MAPs to create a ‘designed’ biostructure with specified and controllable responses to a given magnetic stimulus. These novel biostructures will be assessed using three applications: a) astrocyte cellular networks, b) neuronal circuits and c) astrocyte-neuronal networks. The evaluation of cellular damage, morphological and physiological alterations will validate the performance of the new biostructures and also contribute new understanding to the effects of deformation and stiffness gradients during glial scarring on physiological functions of central nervous system cells. The resulting deep understanding of magneto-mechanics of MAPs and their further development for controllable stimulation devices, will enable the international consolidation of my research group within the mechanics and bioengineering fields.","GARCIA GONZALEZ DANIEL",2020,1499625,"Carlos III University of Madrid","excluded",NA
"ref_019","NEXTFLOW","Next-generation flow diagnostics for control","Fast-paced advancements of hardware and machine-learning algorithms have triggered successful applications of active flow control, even though mainly limited to laboratory-scale applications. One of the main limits resides in the lesson we are able to learn today from experiments. We can successfully train actuators with probes in a controlled environment to reach a certain goal, e.g. aerodynamic drag minimization or noise reduction. on the other hand, an experimental technique that provides a full description of the flow is not available, thus generalization of the actuation effects to real applications is often prohibitive. The objective of NEXTFLOW is to conceive the next-generation flow-diagnostics aimed to flow control by leveraging the principles of completeness and compactness of the measurements. Completeness implies aiming to pursue a complete flow description, i.e. a time-resolved 3D characterization of velocity and thermodynamic variables. This will be achieved through a technique-integration approach based on data-driven methods. This grounds its basis on the principle that the superposed application of techniques is superior to their separate use. Compactness is pursued by exploring solutions with minimum technological complexity, and on developing new data output formats that are directly aimed at flow control applications. Key enablers for this task are (i) the novel concepts I recently proposed on data-driven techniques integration, (ii) the deep embedding of compressed-sensing methods in the data processing and (iii) the data-driven discovery of simplified governing equations of the dynamics. The next-generation flow diagnostics concept will deeply change experimental fluid mechanics and flow control, allowing bridging the gap between the laboratory experiment to the real application, with tremendous potential impact on numerous industrial applications.","DISCETTI Stefano",2020,1499062,"Carlos III University of Madrid","excluded",NA
"ref_020","ZARATHUSTRA","Revolutionizing advanced electrodeless plasma thrusters for space transportation","Electrodeless Plasma Thrusters (EPTs) are a new type of space propulsion that promises to overcome the limitations of traditional electric propulsion technologies and to offer unparalleled advantages in terms of power scaling, throttling range, lifetime, propellant types, and simplicity. Nevertheless, EPT development is currently stuck due to the incomplete understanding of their physics, in particular electromagnetic (EM) plasma heating and anomalous transport. Additionally, the cylindrical geometry of existing EPT designs has inherent issues, with high plasma losses and erosion at the rear wall of the ionization chamber and a wide divergence of the generated plasma jet. ZARATHUSTRA aims to unravel the physical underpinnings of EPTs and revolutionize their design by accomplishing three objectives: (1) establish the first self-consistent model of EM plasma heating in these devices. (2) elucidate the role of plasma turbulence, wall interactions, and applied EM fields on anomalous transport and devise control solutions to minimize plasma losses. and (3) assess the feasibility and advantages of a disruptive non-cylindrical EPT concept. This will be made possible thanks to a unique multidisciplinary methodology based on: a ground-breaking two-level numerical simulation strategy with a novel electromagnetic-kinetic algorithm. state-of-the-art experimental measurements. advanced data analysis techniques. and thruster bread-board prototype development. As a result, the first complete theory of EM heating and anomalous transport in EPTs will be formulated, and the path will be paved for the development of a new generation of plasma thrusters with unsurpassed characteristics and performances. While the high ambition of the project represents high risk, this is more than compensated by the potential high gain: uncovering the physical mechanisms of EPTs, unblocking their progress, and claiming for Europe a privileged leadership position in this strategic field.","Merino Mario",2020,1499375,"Carlos III University of Madrid","excluded",NA
