Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Scheidel A., Ertör I., Demaria F.","36024444900;56374435800;36542203100;","Degrowth in agrarian and fisheries studies",2021,"Handbook of Critical Agrarian Studies",,,,"647","655",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129665476&partnerID=40&md5=e2e6177cccb3d17f354e47ef39ca97ae","Institute of Environmental Science and Technology, Universitat Autònoma de Barcelona, Spain; Ataturk Institute for Modern Turkish History, Boğaziçi University, Istanbul, Turkey; University of Barcelona, Spain","Scheidel, A., Institute of Environmental Science and Technology, Universitat Autònoma de Barcelona, Spain; Ertör, I., Ataturk Institute for Modern Turkish History, Boğaziçi University, Istanbul, Turkey; Demaria, F., University of Barcelona, Spain","Degrowth is an activist slogan and a new academic concept that challenges the obsession with economic growth as the dominant development paradigm. Degrowth proponents seek a democratically led redistributive downscaling of economic production and consumption in industrialized countries to move towards environmental sustainability, social justice and well-being. Agriculture and food systems are important topics in degrowth debates, yet only few studies have addressed them systematically from a degrowth perspective. Fisheries, a crucial but sometimes forgotten sector in food studies, entered the debates recently under the term blue degrowth. This chapter provides an overview of how a degrowth perspective applies in agriculture, fisheries and food studies by reviewing some of the ongoing debates. Common concerns as well as complementary perspectives exist between scholars of degrowth and critical agrarian studies, which form a fertile ground for further dialogue. © A. Haroon Akram-Lodhi, Kristina Dietz, Bettina Engels and Ben M. McKay 2021.",,,Book Chapter,"Final","",Scopus,2-s2.0-85129665476
"Köves A., Szathmári A., Herr O.","55759926000;57219607250;57761154400;","The vision of sustainable sport in a backcasting research",2021,"Society and Economy","43","4",,"314","330",,2,"10.1556/204.2021.00009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126761433&doi=10.1556%2f204.2021.00009&partnerID=40&md5=e5f8b02683249048e4248aab0ef80a58","Institute for Business Economics, Corvinus University of Budapest, Hungary","Köves, A., Institute for Business Economics, Corvinus University of Budapest, Hungary; Szathmári, A., Institute for Business Economics, Corvinus University of Budapest, Hungary; Herr, O., Institute for Business Economics, Corvinus University of Budapest, Hungary","It is now becoming widely accepted that our economy has reached the limits both in terms of the carrying capacity of our planet and in terms of bringing real social justice to the table. Degrowth is a research area that aims to transcend mainstream approaches. While moving beyond the growth paradigm would entail serious changes in all areas of social life and Degrowth research extends into most of them, the transformation of sports is not among them. Neither is Degrowth a recognised concept among those who deal with sports. The participatory backcasting research introduced in this paper attempts to fill this void. In the backcasting project, master students of sports economics envisioned the sustainable future of sports and identified potential intervention steps that lead towards such normative states. This paper describes the results and assesses those elements that aim for strong sustainability. The results show that relocalisation and the sharing economy are the most accepted Degrowth concepts in a normative scenario on sustainable sports in this group. At the same time, the paper offers frameworks of thoughts for those who want to move beyond the slogans of sustainability either as responsible citizens or in positions related to the world of sports. © 2021 The Author(s).","backcasting; Degrowth; participatory research; sports; sustainability",,Article,"Final","",Scopus,2-s2.0-85126761433
"Panzer-Krause S.","57197706025;","Growing Degrowth-oriented Tourism? CSR Certified Tour Operators as Change Agents",2021,"Issues and Cases of Degrowth in Tourism",,,,"104","123",,,"10.1079/9781789245073.0006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126419629&doi=10.1079%2f9781789245073.0006&partnerID=40&md5=c4fb54f29bf54b7f0ffb63f41253ffff","University of Hildesheim, Hildesheim, Germany","Panzer-Krause, S., University of Hildesheim, Hildesheim, Germany","This chapter acknowledges the substantial role tour operators play in the tourism industry as intermediaries bundling different individual tourism offerings together. The study adopts an evolutionary approach through the analyses of tour operators’ sustainability and audit reports and investigates whether German tour operators who have gained the corporate social responsibility (CSR) certification ‘TourCert’ have the potential to act as change agents, upscale the downscaling idea of degrowth and contribute to a reformist pathway of structural change. The findings reveal that CSR certification schemes do not seem to genuinely foster the restructuring of the tourism market within the capitalist system, but can only marginally advocate and diffuse certain elements of degrowth-oriented tourism. At the same time, CSR certification schemes lack the influence necessary for a paradigm shift and for this reason the approach of degrowth-oriented tourism seems unsuitable for mainstream application. © CAB International 2021.",,,Book Chapter,"Final","",Scopus,2-s2.0-85126419629
"Andriotis K.","6602298592;","Conclusion",2021,"Issues and Cases of Degrowth in Tourism",,,,"178","184",,,"10.1079/9781789245073.0010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126414241&doi=10.1079%2f9781789245073.0010&partnerID=40&md5=adb8fc8be2c32df1076091c94cfefbd1","Department of Marketing, Branding and Tourism, Middlesex University, United Kingdom","Andriotis, K., Department of Marketing, Branding and Tourism, Middlesex University, United Kingdom","This final chapter summarizes the main conclusions of this book on degrowth in tourism, and considers the need to rethink the phenomenon of degrowth as a new development paradigm which attempts to give up the current system of unlimited growth. © CAB International 2021.",,,Book Chapter,"Final","",Scopus,2-s2.0-85126414241
"Næss P.","7003499216;","Sustainable urban planning–what kinds of change do we need?",2021,"Journal of Critical Realism","20","5",,"508","524",,3,"10.1080/14767430.2021.1992737","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118299810&doi=10.1080%2f14767430.2021.1992737&partnerID=40&md5=f03d9895f212f2ee6a8cceb64bf8cb08","Department of Urban and Regional Planning, Norwegian University of Life Sciences, Ås, Norway","Næss, P., Department of Urban and Regional Planning, Norwegian University of Life Sciences, Ås, Norway","The approaches currently dominating sustainable urban planning are based on a paradigm which assumes that economic growth can be decoupled from economic degradation through smarter technological solutions and institutional reform within existing social structures. However, decoupling can only be partial. Environmental sustainability, therefore, requires that, sooner or later, growth in consumption and production must cease. Policies for combining environmental and social sustainability would be sharply at odds with key mechanisms inherent in the capitalist economy. Urban sustainability thus requires profound changes. On the ontological plane, planning theory must move away from anti-realist constructivism and hermeneuticism, towards realism. On the empirical plane, it is necessary to move away from disciplinary tunnel vision towards a critical realist version of interdisciplinarity, within key research fields such as housing research and transportation research. On the political plane, urban sustainability must move from growth to degrowth, from inequality to equality, and from capitalism to eco-socialism. © 2021 Informa UK Limited, trading as Taylor & Francis Group.","capitalism; degrowth; ecological modernization; ideology; ontology; Sustainable urban planning",,Article,"Final","",Scopus,2-s2.0-85118299810
"Trantas N.","57225923286;","Could ""degrowth"" have the same fate as ""sustainable development""? A discussion on passive revolution in the Anthropocene age",2021,"Journal of Political Ecology","28",,,"224","245",,1,"10.2458/JPE.2362","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109805615&doi=10.2458%2fJPE.2362&partnerID=40&md5=296ff30bf5597e6cdc52b234c8e61a29","Independent Scholar, Greece","Trantas, N., Independent Scholar, Greece","The sustainable development discourse, including the modern green growth version, may have aspects that contribute to environmental and social welfare but it is a top down reform project, that aims at correcting the environmental and social externalities resulting from economic growth. It is directed by governments that abide by the logic of capital. Although in principle there is civic engagement, public participation is limited and without challenging the dominant economic paradigm. Following Gramsci's terminology, sustainable development can be interpreted as a passive revolution, in the sense that change is managed through compromises with different social and political actors but within limits which neutralize any potential threat to economic and political power. On the contrary, the emerging (yet still marginal) alternative, multi-disciplinary, degrowth academic paradigm, has evolved from an activist movement since the first decade of this century, and retains close contacts and open communication with social movements that support a degrowth transition in economy and society. This transition directly challenges the established orthodox growth narrative and the mechanisms of capital accumulation. Thus, in contrast to the sustainable development discourse, it is difficult for the ""power bloc"" to accommodate degrowth. But in times of crisis and change, the dominant powers can certainly use some aspects of the degrowth discourse, assimilating and transforming them into elements that fit their new accumulation strategies, hegemonic visions and state projects. For this not to happen, degrowthers should focus their research and theory more on the workings of capitalist political economy, and their political practice on trying to form alliances with social actors, such as working-class movements, that are crucial for the achievement of hegemony. © 2021. All Rights Reserved.","capitalism; capitalisme; capitalismo; crecimiento verde; croissance verte; Decrecimiento; degrowth; desarrollo sostenible; décroissance; développement durable; eco-socialism; eco-socialisme; eco-socialismo; European Green Deal; Gramsci; Gramsci; Gramsci; green growth; pacte vert pour l'Europe; pacto verde Europeo; passive revolution; revolución pasiva; révolution passive; sustainable development","Anthropocene; capitalism; economic growth; local government; political economy; strategic approach; sustainability; sustainable development",Article,"Final","",Scopus,2-s2.0-85109805615
"Rio M., Tyl B.","55131943900;55507545500;","Exploring design to environment methods though grassroots initiatives",2021,"Procedia CIRP","100",,,"25","30",,,"10.1016/j.procir.2021.05.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107854556&doi=10.1016%2fj.procir.2021.05.004&partnerID=40&md5=d30abb0ba8a79aa5eb96662451b2b08f","Univ. Grenoble Alpes, CNRS, Grenoble INP, G-SCOP, Grenoble, 38000, France; APESA, Tarnos, 40220, France","Rio, M., Univ. Grenoble Alpes, CNRS, Grenoble INP, G-SCOP, Grenoble, 38000, France; Tyl, B., APESA, Tarnos, 40220, France","Targeting sustainability in our industrial society requires integrating specific criteria in the design process of products and processes. A paradigm shift is necessary in the economical, social and political systems to ensure the natural ecosystems preservation on the planet while fulfilling society needs. Various research methods have therefore emerged to change the way products and services are designed, developed, used and discarded considering territorial contexts. Design for Sustainability, Design for Sustainable Transition, Socially Responsible Design, post-growth design, etc. provide several methods integrating the sustainable principles in the design process. However those approaches remain mainly experimental and are limited to the industrial context. In parallel to those approaches a wide variety of grassroots initiatives have emerged in territories. They propose alternative ways to design systems and they integrate new constraints in a practical manner. This research therefore aims to confront the diversity of Design to Environment (DtE) approaches with 'grassroots' initiatives in order to understand the possible evolution of the integration of sustainability into the design process of products and services used in industry. This paper presents the first literature review results of a started project in 2020. An original research protocol is proposed in this paper, based on specific focus groups with grassroots initiatives practitioners and eco-design experts from research and industry. The presentation of four DtE frameworks are analysed in this paper. This research finally discusses the opportunity of integrating the grassroots enriched DtE frameworks by non-official-designers in life cycle engineering. This bottom-up process may drive an expression of sustainability in industry aligned with some emerging local socio-technical systems. © 2021 Elsevier B.V.. All rights reserved.","Conviviality; Design for Sustainable Transition; Design to Environment; Focus group methodology; Makers; Socially Responsible Design","Ecodesign; Industrial research; Life cycle; Product design; Conviviality; Design for sustainable transition; Design to environment; Design-process; Elsevier; Focus group methodology; Grassroots initiatives; Maker; Product and services; Socially responsible designs; Sustainable development",Conference Paper,"Final","",Scopus,2-s2.0-85107854556
"Koch M., Buch-Hansen H.","56153696900;35621680900;","In search of a political economy of the postgrowth era",2021,"Globalizations","18","7",,"1219","1229",,9,"10.1080/14747731.2020.1807837","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089748380&doi=10.1080%2f14747731.2020.1807837&partnerID=40&md5=e6b12d3584bc1eb6f60d45fd2b80549b","Socialhögskolan, Lund University, Lund, Sweden; Department of Organization, Copenhagen Business School, Frederiksberg, Denmark","Koch, M., Socialhögskolan, Lund University, Lund, Sweden; Buch-Hansen, H., Department of Organization, Copenhagen Business School, Frederiksberg, Denmark","Against the backdrop of the ecological and climate emergencies and several other deep crises, advocates of degrowth call for democratic transitions towards societies that can thrive beyond economic growth within ecological boundaries while being socially equitable. In recent years, scholarship has emerged that brings together the emerging degrowth paradigm with insights from political economy. Yet much contemporary political economy continues to ignore the environment and, by implication, the ecological downsides of economic growth. The present contribution criticizes this state of affairs and highlights the promises of a synthesis of contemporary critical political economy and the growth-critical tradition in ecological economics. It hints at how concepts of one particular strand of critical political economy, namely regulation theory, may be of use in analyses of (trajectories to) the postgrowth era. © 2020 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","degrowth; institutional forms; Political economy; postgrowth; regulation theory; state",,Article,"Final","",Scopus,2-s2.0-85089748380
"de Blas I., Mediavilla M., Capellán-Pérez I., Duce C.","57211574236;7004896412;57190759268;57225220490;","The limits of transport decarbonization under the current growth paradigm",2020,"Energy Strategy Reviews","32",,"100543","","",,29,"10.1016/j.esr.2020.100543","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090283718&doi=10.1016%2fj.esr.2020.100543&partnerID=40&md5=2041fc8a117151fce3de5e6ac3a5a9ac","Group of Energy, Economy and System Dynamics of the University of Valladolid (GEEDS), Valladolid, Spain; Department of Systems Engineering and Automatic Control, Escuela de Ingenierías Industriales, University of Valladolid, Paseo del Cauce s/n, Valladolid, 47011, Spain","de Blas, I., Group of Energy, Economy and System Dynamics of the University of Valladolid (GEEDS), Valladolid, Spain, Department of Systems Engineering and Automatic Control, Escuela de Ingenierías Industriales, University of Valladolid, Paseo del Cauce s/n, Valladolid, 47011, Spain; Mediavilla, M., Group of Energy, Economy and System Dynamics of the University of Valladolid (GEEDS), Valladolid, Spain, Department of Systems Engineering and Automatic Control, Escuela de Ingenierías Industriales, University of Valladolid, Paseo del Cauce s/n, Valladolid, 47011, Spain; Capellán-Pérez, I., Group of Energy, Economy and System Dynamics of the University of Valladolid (GEEDS), Valladolid, Spain; Duce, C., Group of Energy, Economy and System Dynamics of the University of Valladolid (GEEDS), Valladolid, Spain","Achieving ambitious reductions in greenhouse gases (GHG) is particularly challenging for transportation due to the technical limitations of replacing oil-based fuels. We apply the integrated assessment model MEDEAS-World to study four global transportation decarbonization strategies for 2050. The results show that a massive replacement of oil-fueled individual vehicles to electric ones alone cannot deliver GHG reductions consistent with climate stabilization and could result in the scarcity of some key minerals, such as lithium and magnesium. In addition, energy-economy feedbacks within an economic growth system create a rebound effect that counters the benefits of substitution. The only strategy that can achieve the objectives globally follows the Degrowth paradigm, combining a quick and radical shift to lighter electric vehicles and non-motorized modes with a drastic reduction in total transportation demand. © 2020 The Authors","Decarbonization; Degrowth; Electric vehicles; Energy transition; Lithium","Decarbonization; Economic analysis; Greenhouse gases; Petroleum transportation; Climate stabilization; Economic growths; Greenhouse gases (GHG); Integrated assessment models; Non-motorized modes; Rebound effect; Technical limitations; Transportation demand; Nonmotorized transportation",Article,"Final","",Scopus,2-s2.0-85090283718
"Vuković M.B., Ančić B., Domazet M.","57218563566;50560924000;14048132400;","VAlues underpinning a degrowth transformation of the socio-political system [Vrednote, ki so lahko podlaga transformacijam družbenopolitičnega sistema]",2020,"Traditiones","49","1",,"141","158",,1,"10.3986/TRADITIO2020490108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095715152&doi=10.3986%2fTRADITIO2020490108&partnerID=40&md5=7b362131177e7832f9315171b0656c24","Centre for Research in Social Inequalities and Sustainability (CIDNO), Institute for Social Research in Zagreb, Frankopanska 22, Zagreb, 10000, Croatia; Institute for Political Ecology, Preobraženska ulica 2, Zagreb, 10000, Croatia","Vuković, M.B., Centre for Research in Social Inequalities and Sustainability (CIDNO), Institute for Social Research in Zagreb, Frankopanska 22, Zagreb, 10000, Croatia; Ančić, B., Centre for Research in Social Inequalities and Sustainability (CIDNO), Institute for Social Research in Zagreb, Frankopanska 22, Zagreb, 10000, Croatia; Domazet, M., Institute for Political Ecology, Preobraženska ulica 2, Zagreb, 10000, Croatia","This paper deals with attitudes, values and ideologies as potentials in influencing cultural change toward more environmentally and socially sustainable socio-political system. The main framework of the discussion is the degrowth paradigm and the results of analyses are based on the two modules of the International Social Survey Program (2017). The main indicator of the (social) degrowth potentiality is the 'degrowth scale', consisting of dimensions related the end of economic growth and the need for social change. Those dimensions are (statistically) contextualised within respondents' socio-demographic characteristics, and their other values and attitudes, and discussed within the degrowth paradigm. © 2020 Zalozba Z R C. All rights reserved.","Cultural change; Degrowth paradigm; Ideology; ISSP; Sustainable socio-political system; Value systems",,Article,"Final","",Scopus,2-s2.0-85095715152
"Calisto Friant M., Vermeulen W.J.V., Salomone R.","56513941600;7005911992;23390421800;","A typology of circular economy discourses: Navigating the diverse visions of a contested paradigm",2020,"Resources, Conservation and Recycling","161",,"104917","","",,88,"10.1016/j.resconrec.2020.104917","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086724637&doi=10.1016%2fj.resconrec.2020.104917&partnerID=40&md5=d97530002f1b42e68f07a517957663e4","Copernicus Institute of Sustainable Development, Utrecht University, Utrecht University; University of Messina, Department of Economics","Calisto Friant, M., Copernicus Institute of Sustainable Development, Utrecht University, Utrecht University; Vermeulen, W.J.V., Copernicus Institute of Sustainable Development, Utrecht University, Utrecht University; Salomone, R., University of Messina, Department of Economics","The circular economy (CE) has recently become a popular discourse especially in government and corporate sectors. Given the socio-ecological challenges of the Anthropocene, the concept of CE could indeed help the transition to a sustainable, just and resilient future. However, the actual definition, objectives and forms of implementation of the CE are still unclear, inconsistent, and contested. Different actors and sectors are thus articulating circular discourses which align with their interests, and which often do not sufficiently examine the ecological, social and political implications of circularity. In this context, this research asks how to better navigate and analyse the history, complexity and plurality of circularity discourses by conceptually differentiating them in a comprehensive discourse typology. To answer this question a critical literature review has been carried out, which first, examines and reflects on the core challenges, gaps and limitations of the CE concept. Second, this research develops a comprehensive timeline of circularity thinking, which identifies and conceptually classifies 72 different CE-related concepts from the Global North and South (such as Gandhian and steady-state economics, buen vivir, doughnut economics and degrowth). This leads to the development of a typology of circularity discourses, which classifies circularity visions according to their position on fundamental social, technological, political and ecological issues. This research thus seeks to provide a basis for a more inclusive and comprehensive discussion on the topic, which opens the imaginary regarding the many circular futures that can exist and allows for a cross-pollination of ideas, policy options, strategies, practices and solutions. © 2020 The Authors","Circular economy; Circular society; Critical literature review; Discourse analysis; Sustainability","Ecology; Anthropocene; Circular economy; Corporate sector; Literature reviews; Policy options; Political implications; Socio-ecological; Steady state; Economics; Anthropocene; economic system; environmental economics; recycling; circular economy; ecology; environmental economics; environmental impact; environmental planning; environmental sustainability; politics; program sustainability; recycling; Review; social aspect; social justice",Review,"Final","",Scopus,2-s2.0-85086724637
"Bell S.E., Daggett C., Labuski C.","32867512800;57056013200;55547976700;","Toward feminist energy systems: Why adding women and solar panels is not enough✰",2020,"Energy Research and Social Science","68",,"101557","","",,22,"10.1016/j.erss.2020.101557","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085170626&doi=10.1016%2fj.erss.2020.101557&partnerID=40&md5=5c674df2965f3f09fd73c16363047f90","Department of Sociology, Virginia Tech, Mayapple Energy Transition Collective, United States; Department of Political Science, Virginia Tech, Mayapple Energy Transition Collective, 535 Major Williams, 220 N. Stanger St, Blacksburg, VA  24061, United States; Women's and Gender Studies, Virginia Tech, Mayapple Energy Transition Collective, United States","Bell, S.E., Department of Sociology, Virginia Tech, Mayapple Energy Transition Collective, United States; Daggett, C., Department of Political Science, Virginia Tech, Mayapple Energy Transition Collective, 535 Major Williams, 220 N. Stanger St, Blacksburg, VA  24061, United States; Labuski, C., Women's and Gender Studies, Virginia Tech, Mayapple Energy Transition Collective, United States","Growth in renewable energy does not displace fossil fuel use on a one-to-one basis, but rather increases the total amount of energy that is produced. As numerous scholars have argued, an energy transition away from – rather than in addition to – fossil fuels will require more than technology and financial capital. Here we argue that a feminist perspective on energy provides an important framework for understanding what keeps us stuck in unsustainable energy cultures, as well as a paradigm for designing truly just energy systems. Feminist approaches have been widely taken up in environmental and ecofeminist work, as well as in climate change research. In energy studies, however, gender-related research has tended to focus more narrowly on women's issues. Although this is crucial work, the focus on women represents just one dimension of what feminism can bring to the study of energy. Feminist theory also offers expertise in the study of power more broadly, which is widely applicable to the full spectrum of energy research. This article outlines a feminist energy research agenda that addresses many aspects of energy system design, planning, exchange, and use. We analyze energy along four intersecting coordinates: the political (democratic, decentralized and pluralist); economic (prioritizing human well-being and biodiversity over profit and unlimited growth); socio-ecological (preferring relationality over individualism); and technological (privileging distributed and decentralized fuel power and people power). In doing so, we show that feminism is well-suited for navigating the tangled web of power, profit, and technological innovation that comprises human fuel use. © 2020 Elsevier Ltd","Degrowth; Ecofeminism; Energy democracy; Feminist energy; Fossil fuels; Just transition",,Article,"Final","",Scopus,2-s2.0-85085170626
"Kopnina H.","11541014500;","Education for the future? Critical evaluation of education for sustainable development goals",2020,"Journal of Environmental Education","51","4",,"280","291",,59,"10.1080/00958964.2019.1710444","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078452281&doi=10.1080%2f00958964.2019.1710444&partnerID=40&md5=a8f5a7aa93fa2224f85bfbc36c203068","Amsterdam Institute for Advanced Labour Studies, University of Amsterdam, Amsterdam, Netherlands","Kopnina, H., Amsterdam Institute for Advanced Labour Studies, University of Amsterdam, Amsterdam, Netherlands","Building on the Millennium Development Goals, Education for Sustainable Development (ESD) and Education for Sustainable Development Goals (ESDG) were established. Despite the willingness of many educational institutions worldwide to embrace the SDGs, given escalating sustainability challenges, this article questions whether ESDG is desirable as “an education for the future”. Many challenges outlined by the SDGs are supposed to be solved by “inclusive” or “sustainable” economic growth, assuming that economic growth can be conveniently decoupled from resource consumption. Yet, the current hegemony of the sustainability-through-growth paradigm has actually increased inequalities and pressure on natural resources, exacerbating biodiversity loss, climate change and resulting social tensions. With unreflective support for growth, far from challenging the status quo, the SDGs and consequently, the ESDGs, condone continuing environmental exploitation, depriving millions of species of their right to flourish, and impoverishing future generations. This article creates greater awareness of the paradoxes of sustainable development and encourages teaching for sustainability through various examples of alternative education that emphasizes planetary ethic and degrowth. The alternatives include Indigenous learning, ecopedagogy, ecocentric education, education for steady-state and circular economy, empowerment and liberation. © 2020 Taylor & Francis Group, LLC.","Education for sustainable development; education for sustainable development goals; environmental education; sustainable development goals",,Article,"Final","",Scopus,2-s2.0-85078452281
