Project acronym,title,abstract
PerfectSTORM,STOrylines of futuRe extreMes,"Future climate projections show a strengthening of the hydrological cycle with more droughts and floods expected. This means a higher likelihood of cascading drought-to-flood disasters such as the Millennium Drought – Brisbane flooding in Australia or the California drought – Oroville spillway collapse in the US. Current research and management treat floods and droughts as independent, which leads to large underestimations of their future risk. Droughts allow ample time for impacts and adaptation, which influence hazard, exposure, and vulnerability of a subsequent flood. There are anecdotal examples of these events, but research is needed on the underlying interactions between hydrology and society. In the PerfectSTORM project (‘STOrylines of futuRe extreMes’), I propose to study drought-to-flood events to provide the understanding needed to prevent major disasters in the future. The innovative approach that I will develop is based on a combination of qualitative and quantitative storylines of past and future drought-to-flood risk in case studies and extrapolation of this rich case study information to the global scale. Qualitative storylines will be collected with narrative interviews and mental simulation workshops and will be edited and analysed. Quantitative storylines will be developed from timeseries of hydrological and social data that will be analysed and modelled. These storylines will then be combined in an iterative way using innovative data visualisation. A range of global datasets will be analysed to find global types and hotspots of drought-to-flood events and a global future 3D possibility space will be developed using socio-hydrological modelling. Positive pathways for future management of drought-to-flood events in different parts of the world will then be explored. The PerfectSTORM project will provide in-depth understanding of the hydrosocial feedbacks and dynamic vulnerability of cascading hazards."
RESOLVENCY,A GLOBAL THEORY OF REFLEXIVE DEBT (DELIBERATION),"Modern capitalism is essentially built on the institution of debt. The unlimited conception of debt reinforces an infinite growth logic and drives economic, political, cultural and ecological unsustainability. A crucial research question is how to constitute debt as more sustainable socio-economic medium. The RESOLVENCY project aims to shape a new (socially) reflexive debt paradigm by rethinking insolvency law as reflexive (democratic) debt deliberation. The project intends to set up a global theory of debt deliberation (for firms, consumers and states), which outlines a new RESOLVENCY paradigm for insolvency law reintegrating over-burdened debtors into the economic system (making them ‘re-solvent’) and incorporating other social (political, cultural, ecological) perspectives. ‘Resolving’ debt conflicts requires a collective procedure including debtor, creditors and all other private (employees, inhabitants) and public (communities, environment) interests involved. Advancing PI’s novel ‘discursive normative grammar’ (DNG) methodology and combining it with empirical methods, the project has four main objectives: (A) to reconstruct a universal argumentative frame (an insolvency DNG) for debt deliberation integrating normative principles (values) from corporate, consumer and sovereign insolvency theories across different jurisdictions. (B) to newly classify insolvency laws worldwide with a global comparative insolvency law theory based on this DNG. (C) to model and experiment with legal designs of reflexive debt deliberation procedures (RESOLVENCY law). and (D) to outline a model of reflexive debt (RE:DEBT) and analyse its ex ante effects on credit markets. The project does not only impact any legal and economic research on insolvency, but also debt theory in all social and sustainability sciences. In advancing PI’s DNG method, it enhances general understanding of deep normative architectures of legal reasoning and its constitutional effects for society at large."
Reintegrate,Reintegration Governance,"The Reintegrate project will combine the fields of reintegration and migration governance to establish a new sub-field of reintegration governance (RG). This project will develop a conceptual understanding of what is reintegration governance, its implementation and effectiveness and a new theoretical framework of how different forms of reintegration governance shape returnees reintegration outcomes across an in-depth comparative analysis of four different states: Ethiopia, Morocco, Nepal, and Serbia. The project is rooted in the nexus between policies and migrants agency by using a trajectories approach and active navigators to illustrate the role that returnees play in their own reintegration outcomes. The project makes several original contributions. First, this will be the first study that examines how reintegration is governed and will take a global approach to compare different regimes of RG. Second, the project uses an original analytical and empirical approach to compare RG across four case study countries that are each selected to represent a different form of RG. Ethiopia represents origin country led RG wherein the state has a national reintegration proclamation. Morocco represents supranational led RG characterized be an EU Readmission Agreement, IOM Assisted Voluntary Return Programmes (AVR), and a GIZ Migration Advisory Centre. Serbia represents high RG including both supranational and origin country led RG. Nepal represents low RG wherein only an IOM AVR programme is operational. Third, the reintegrate project addresses a gap in migration governance by bringing in the trajectories and navigation of returnees as a critical dimension in the analysis. The reintegrate project will have an impact on migration studies, human geography and political science through the establishment of the new sub-field of reintegration governance."
AWAR,Adapted to War,"Have humans evolved psychological adaptations to war? This question has generated major scientific debate involving anthropologists, archaeologists, economists, primatologists, psychologists, and political scientists. It has shaped popular perceptions of human nature and influenced the views of political leaders. Observing the limits of archaeological, ethnographic, and comparative evidence, I posit that only evidence of special design, obtained from an integrated program of psychological experiments, can conclusively answer this fundamental question. If humans are adapted to war, then human psychology must be equipped with specialized adaptations designed for the effective navigation of war: planning, executing, and defending against coalitional attacks. AWAR probes the existence of such adaptations. It focuses, specifically, on coalitional formidability assessment mechanisms, which likely helped ancestral humans to avoid costly fights. Such mechanisms, if revealed, likely constitute “smoking-gun” evidence that war shaped human evolution. AWAR also explores real-world implications of coalitional formidability assessment mechanisms: if they indeed exist, do they shape our attitudes and behavior today, particularly in the context of modern political violence (e.g., violent anti-government protests and armed civil conflicts)? AWAR presents the first elaborate information-processing model of a coalitional formidability assessment mechanism. In turn, it conducts an integrated program of 20 lab experiments and surveys in 40 countries. Crucially, AWAR holds the potential to reveal the existence of a psychological adaptation in humans, contributing to the growing efforts to map the universal architecture of the human mind. The project’s results will likely appear in major multidisciplinary journals, advancing scholarly debates in at least six disciplines. Most importantly, AWAR breaks new ground for a novel perspective in the study of modern domestic political violence."
MigrationRhythms,Migration rhythms in trajectories of upward social mobility in Asia,"Ninety percent of the global increase in the size of middle classes is occurring in Asia. What is driving this tremendous middle-class expansion and how is it related to the unprecedented levels of internal and international migration in that region? Specifically, what roles does migration play in Asian families’ trajectories into middle-classness over time? MigrationRhythms will investigate this question, discerning whether the roles of migration in trajectories of upward social mobility into middle-classness differ, and if so, how and why. The variation in distances and durations of migration among individuals in a family, over time, are described as migration rhythms. MigrationRhythms will produce a typology of different migration rhythms associated with specific trajectories of upward social mobility into the middle classes, which will enable a comprehensive theorization of the interaction of migration and social mobility of universal applicability, based on the unique data-rich Asian context. The combination of two distinct approaches will enable achieving MigrationRhythms’ objective of evaluating the roles of migration in trajectories of upward social mobility: First, the project employs a mixed-methods research design, encompassing family history interviews and quasi-longitudinal survey data from four Asian cities: Hanoi, Karachi, Manila and Mumbai. Second, it applies rhythmanalysis, as part of an inductive process-tracing framework, across the qualitative and quantitative data sets. This dual approach will enable the PI and two postdocs to identify the relative prevalence of different migration rhythms in families’ trajectories of upward social mobility into middle-classness. The PI will build on these analyses of migration rhythms to theorize the roles of spatial mobility (and immobility) in producing social mobility outcomes over the long-term, promising scientific advances in geography and migration studies, of relevance for research on social mobility."
FORESTPOLICY,Identifying the conditions under which forest-focused supply chain policies lead to improved conservation and livelihoods: a pan-tropical analysis,"Tropical forests are critical for human wellbeing through their contributions to climate stability, biodiversity conservation, food production, and rural livelihoods. Despite numerous global commitments to help conserve and restore tropical forests, these areas are disappearing faster than ever. The goal of this research is to provide major advancements in our understanding of the conditions under which forest-focused supply chain policies (FSPs), a form of voluntary environmental governance, can lead to improved conservation and livelihoods in the tropics. My proposal overcomes major methodological limitations of past work through four major innovations: i) a coordinated pan-tropical analysis of multiple forest-risk commodities, ii) simultaneous examination of conservation and livelihood outcomes, iii) a focus on mechanisms of impact, not just measures of impact, and iv) comparative study with triangulation across multiple scales and methods. I will examine the importance of four key contextual factors in determining FSP effectiveness: i) the degree of public sector involvement in the governance of land use behaviors in the target regions. ii) historical land use trends in the target regions. iii) supply chain arrangements for the targeted commodities. and iv) values of the targeted populations. Additionally, I examine how the type of implementation mechanism used (i.e., whether the firm immediately suspends non-compliant producers) interacts with these contextual factors in determining the effectiveness and equity of FSPs. By identifying the conditions under which different types of FSPs and related implementation mechanisms can deliver improved conservation and livelihood outcomes, the resulting analysis will provide urgently needed policy recommendations to companies and other policy makers for how to better tailor the design of FSPs to specific contexts."
GREENFIN,Effective green financial policies for the low-carbon transition,"Mitigating dangerous climate change requires a fundamental transition of global economies. This transition calls for an annual investment of 2–4 trillion USD, which is a multiple of current climate investment. Accordingly, the EU and many countries are enacting green financial policies, intervening in the financial sector to improve financing conditions for low-carbon technologies. Examples include green state investment banks, carbon disclosure requirements, and changes to lending regulations. However, the effect of these financial policies on investments in non-financial sectors such as energy, transport, or building is largely unknown. More specifically, we lack insights on how different low-carbon technologies require different types of finance (such as public vs. private finance, corporate vs. project finance, or equity vs. debt). Hence, it remains unclear how to make best use of such policies to fill the climate finance gap. By bridging disciplines and using novel data, GREENFIN will lead to a breakthrough in our understanding of the effects of financial policies on the low-carbon transition in non-financial sectors, and thereby lay the foundations for a new interdisciplinary field of financial policy analysis. First, combining theory from technology innovation studies and financial economics, I will derive how technology-inherent characteristics predict the demand for different types of finance. Second, using policy analysis tools and novel machine learning-based methods, I will analyze the effects of green financial policies on the supply of various types of finance. Third, combining these insights I will deliver specific recommendations for designing more effective green financial policies in the EU and beyond. By including financial policies in policy mix analyses, GREENFIN will crucially increase the overall analytical power of public policy analysis, which is all the more important given the ever-growing role of the financial sector in modern economies."
EmergentCommunity,Coexistence and conflict in the age of complexity: An interdisciplinary study of community dynamics,"Polarization and inequality amongst citizens are on the rise across Europe. In a context of multiple, and intersecting forms of diversity, peaceful coexistence has been increasingly placed under sustained pressure. Crucially, the urgency of finding sustainable solutions to these developments is constrained by a lack of conceptual and theoretical nuance that inhibits critical thinking about emergent constellations of social and political life. This project explores how affective orientations and everyday practices of peace and conflict intertwine and influence societies. In this respect, the study adopts an interdisciplinary research design that uses multi-sited ethnography, immersive virtual technologies, and psycho-physiological measuring to provide cutting-edge insight into community dynamics. The study will provide new grounded knowledge on how societies hold together whilst social and political positions within and between communities multiply. Using complexity as an analytical angle, the project considers the relations, tensions, and forms of collaboration that unfold in the course of everyday life in nine urban neighbourhoods in Finland, Sweden and France. The three countries share a mix of similarities and differences through which the variations in community dynamics and their societal consequences can be identified. Through the adopted interdisciplinary approach, the project will generate beyond state-of-the-art insight into how community dynamic in contemporary societies develops. It will use this knowledge to rethink the notion of community. In the final stage of the project, the empirical, methodological and conceptual insights will be combined to feed into the process of building a theory of emergent communities through which changes to the form of social and political life can be understood. The project will have a high societal impact by providing policymakers and politicians with knowledge on how social sustainability and inclusion can be promoted."
PROSPERA,"Prospering without growth: Science, Technology and Innovation in a post-growth era","The feasibility and desirability of endless economic growth is increasingly being questioned by scholars and activists. While envisioning alternative economic models is key to assure the sustainability and wellbeing of present and future generations, few studies have analysed what might be the role of ‘innovation’ in a post-growth era. Innovating has become the imperative for the survival and expansion of any form of organisation. But this ‘innovate or die mania’ underpins assumptions – such as technological determinism and productivism - that neglect the socially constructed character of technological development, its politics and its capacity to enable just and equitable societies but also dystopian technocratic futures. This project posits that untangling innovation from growth is key to imagining a post-growth era. If growth is going to be unsustainable, we need new narratives for innovation that would accordingly also have to change and increase the scope of the innovation concept itself, beyond technology, into cultural and institutional change, and indeed social life and social order. Organizations – in particular capitalist enterprises - are the core of modern industrial societies but are also one of the places in which the discourse of growth is legitimised and constantly reproduced. However, they can also be the places in which people can start to build the capacity for developing alternatives to challenges the growth ideology. But how organizations would look like in a different paradigm, in a system that is not based on and doesn’t not rely on endless growth? Under which conditions STI without growth would be able to flourish? What levels of technological complexity can we reach in a non-growing economy? What policies, infrastructures and organizational forms are needed or are more likely to facilitate this new paradigm of STI? These are questions, rarely asked by innovation, management and organization scholars, that the proposed project will address."
EUDAIMONIA,"National institutional autonomy within the EU legal order: uncovering and addressing its distinctive appearances, origins and impact on Member States' administrations","Despite significant advancements in European integration, the institutional design and organisation of administrative structures implementing and enforcing EU law had traditionally remained the responsibility of EU Member States. Over the past decade, however, EU legislation has increasingly come to impose more organisational requirements on those Member States’ administrative structures. That evolution is most remarkable as EU law has long recognised the existence of a principle of national institutional/administrative autonomy. That principle is to guarantee Member States’ freedom to designate and structure the administrative bodies responsible for the application and enforcement of EU rules. How far does the EU’s more extensive involvement in Member States’ administrative design decisions actually reach and can one find parallels between different fields of regulation? If so or if not, what are the implications for our understanding of institutional autonomy as a principle of EU (administrative) law? So far, legal scholarship, including the PI’s previous work on EU market supervision, has paid only scarce attention to those important questions. The principal objective of this project will be to analyse the scope of Member States’ administrative autonomy and to uncover, explain and conceptualise the limits that are imposed on it by EU law. To do so, it will first of all map and compare EU law’s influence over Member States’ administrative designs across 18 domains of regulation influenced by the EU. Since the traditional legal scholarship toolkit insufficiently allows to grasp the different factors having given rise to Member States’ administrative design decisions, the project will subsequently rely on actor-network theory (ANT) to uncover those factors. Using that particular research methodology, new and more extensive data obtained through in-depth case studies and questionnaires will allow to formulate theoretical modifications and policy recommendations."
realTRIPS,Redefining Variability: Evaluating Land Use and Transport Impacts on Urban Mobility Patterns,"Urban mobility analysis, advanced by the emerging fine-granularity location data (e.g. smart card data, mobile phone data and social media data), has received significant attention in recent years. It has become an important subject for understanding the functionality, ever-increasing dynamism and complexity of urban space. realTRIPS aims to open a new avenue of research in urban mobility analysis using emerging automatic data by developing an analytical and modelling framework, particularly addressing variability across spatial-temporal scales. I argue that the variability of urban mobility should not be simply interpreted as a number of errors, but indicators of changes in regular human behaviours impacted by land use and transport at different scales. A deeper understanding of variability and regularity would contribute to a more accurate prediction of urban development scenarios. The relevant theories and measures on variability have been long-researched in spatial statistics, but not well applied to the context of urban mobility studies. The proposed framework will take advantage of the research progress in multi-disciplines and leverage key concepts from uncertainty in spatial analysis, time geography, and land use transport planning. Under such framework, variability will be measured in mobility patterns and integrated as a function of space and time into operational urban models for predicting impact of land use and transport on people’s travel and location choices at different spatiotemporal scales. Case studies presenting typical urban contexts (i.e. London, Shenzhen, Nairobi) will be explored to demonstrate the feasibility and generic applicability of the theory, analytical methods and urban models."
CitizenGap,Legal Identity for All?,"Although we often think of undocumented persons as migrants or non-citizens, about one in seven people across the globe lack documents such as birth certificates, ID cards or passports to prove their legal identity, and thus their status as citizens in their own country. This gap between citizens with and without state-recognized documents is just as consequential as the distinction between citizens and non-citizens. Existing approaches portray the citizenship gap – the difference between legal status and the ability of citizens to document their claim to this status – as the apolitical by-product of deficiencies in governance. The proposed research project – CitizenGap – aims to change how scholars and policy-makers think about achieving one of the key targets of the United Nations’ Sustainable Development Goals “By 2030, provide legal identity for all, including birth registration” by developing a novel political understanding. The project establishes the citizenship gap as a field of social scientific research, and pursues two main questions: (1) How and why do states invest in civil registration? (2) How and why do citizens decide to obtain documents? To understand why millions of citizens are undocumented, it is crucial to remember that citizenship is not only a legal status, but first and foremost a political relationship between states and the populations they govern. CitizenGap advances a strategic theory that seriously considers the incentives of states and citizens in the politics of civil registration. Empirically, the project contributes a comprehensive, cross-national measure that captures the number and characteristics of undocumented citizens, including those at risk of having their citizenship status questioned. The project analyzes the origins and nature of the citizenship gap in India and Mexico with a mixed methods design, combining demographic and spatial (GIS) datasets with fieldwork, archival sources, interviews and focus groups"
COMPASS,"Is environmental justice necessary for human well-being? Comparative analysis of certification schemes, inclusive business, and solidarity economy strategies","Unprecedented concentration in agri-food value chains is reinforcing global inequality. Waves of land grabbing threaten the livelihoods of millions. Reshaping the effects of agricultural investment, land use, and trade on human well-being is thus an urgent challenge. Certification schemes (CS) such as “Fairtrade” have become a common strategy to meet this challenge. However, accumulating evidence shows that many CS have limited effects on well-being. Inclusive business (IB) and solidarity economy (SE) strategies are emerging alternatives. Inclusiveness and solidarity are widely believed to enhance well-being, but evidence and theories disprove this common belief. Environmental justice may be a necessary condition to understand and reshape the effects of CS, IB, and SE on well-being. However, lack of reliable data and comparative analyses limits understanding of these links. COMPASS will tackle these challenges. This project aims to demonstrate how environmental justice influences the effects of CS, IB, and SE strategies on human well-being. COMPASS is organized in four work packages (WPs) and focuses on the cocoa and coffee sectors of Peru and Switzerland. WP1 surveys organizations (n=120) to compare their instruments used in CS, IB, and SE strategies. WP2 surveys households (n=840) and uses set-theoretic and process-tracing methodology to explain the effects of CS, IB, and SE on well-being. WP3 identifies the rules that organizations (n=18) create to regulate land use, investment and trade, assesses their environmental justice, and explains how they influence well-being. WP4 generates context-sensitive generalizations of these effects, and it tests and advances pertinent theories. COMPASS breaks new ground by systematically comparing CS, IB, and SE strategies and their effects on human well-being. It develops a new strand of environmental justice research on private-sector strategies and it tests the transformative potential of environmental justice."
